Nazev;Rel_X;Rel_Y;Rel_Z;Latitude;Longitude,
B1;6872.72;-8852.581;0;583083.170476;1212000.342834,
B2;6598.613;-10594.378;0;583083.15483;1212000.348304,
B3;3595.863;-12260.458;0;583083.139863;1212000.408233,
B4;5219.767;-11985.942;0;583083.142329;1212000.375823,
B5;2178.017;-11902.762;0;583083.143076;1212000.436531,
B6;424.372;-10456.95;0;583083.156064;1212000.47153,
B7;-349.888;-8636.487;0;583083.172417;1212000.486983,
B8;-516.177;-6763.518;0;583083.189243;1212000.490302,
B9;-245.854;-4855.438;0;583083.206383;1212000.484907,
B10;561.909;-3365.722;0;583083.219765;1212000.468785,
B11;2119.816;-1944.955;0;583083.232528;1212000.437692,
B12;3349.002;-979.966;0;583083.241197;1212000.41316,
B13;4038.087;380.879;0;583083.253421;1212000.399407,
B14;3653.848;1846.231;0;583083.266585;1212000.407076,
B15;2428.565;2579.288;0;583083.27317;1212000.43153,
B16;1150.438;2545.663;0;583083.272868;1212000.457039,
B17;-1230.055;3146.177;0;583083.278262;1212000.50455,
B18;-1831.284;4348.039;0;583083.289059;1212000.516549,
B19;-1837.073;5390.609;0;583083.298424;1212000.516664,
B20;-3587.149;10369.327;0;583083.343149;1212000.551593,
B21;-2503.839;9326.885;0;583083.333784;1212000.529972,
B22;-1863.89;7841.539;0;583083.320441;1212000.5172,
B23;-6079.02;11861.897;0;583083.356557;1212000.601326,
B24;1112.024;6407.12;0;583083.307556;1212000.457806,
B25;970.407;8439.346;0;583083.325812;1212000.460633,
B26;1723.486;9284.187;0;583083.333401;1212000.445602,
B27;747.141;7437.033;0;583083.316808;1212000.465088,
B28;4119.856;4990.837;0;583083.294833;1212000.397775,
B29;2005.308;5631.837;0;583083.300591;1212000.439978,
B30;6342.679;5258.062;0;583083.297234;1212000.353412,
B31;5362.408;9870.915;0;583083.338672;1212000.372977,
B32;7060.55;1857.197;0;583083.266683;1212000.339085,
B33;7301.742;718.988;0;583083.256459;1212000.334271,
B34;7050.017;254.272;0;583083.252284;1212000.339295,
B35;7013.875;-273.004;0;583083.247548;1212000.340016,
B36;7635.779;-3207.835;0;583083.221184;1212000.327604,
B37;7500.792;-4276.796;0;583083.211581;1212000.330298,
B38;6776.708;-5074.67;0;583083.204414;1212000.34475,
B39;6124.048;-5697.069;0;583083.198823;1212000.357776,
B40;5949.597;-6277.077;0;583083.193612;1212000.361257,
B41;6215.185;-7065.175;0;583083.186533;1212000.355957,
B42;7306.598;-7575.274;0;583083.18195;1212000.334174,
B43;8435.169;-8151.9;0;583083.176771;1212000.31165,
B44;9131.119;-10204.172;0;583083.158335;1212000.29776,
B45;8101.726;-12111.138;0;583083.141204;1212000.318305,
B46;2473.55;-14276.192;0;583083.121755;1212000.430633,
B47;1039.658;-14190.993;0;583083.122521;1212000.45925,
B48;182.771;-13461.902;0;583083.12907;1212000.476352,
B49;-1689.765;-3796.219;0;583083.215898;1212000.513725,
B50;-1821.004;-5201.461;0;583083.203275;1212000.516344,
B51;-623.427;-1631.798;0;583083.235341;1212000.492442,
B52;-1293.492;-2674.606;0;583083.225974;1212000.505816,
B53;380.876;-709.979;0;583083.243622;1212000.472398,
B54;1127.614;384.061;0;583083.25345;1212000.457495,
B55;-2086.32;2562.545;0;583083.27302;1212000.521639,
B56;501.114;2256.728;0;583083.270272;1212000.469999,
B57;1044.553;1512.794;0;583083.26359;1212000.459153,
B58;-199.957;2613.471;0;583083.273477;1212000.483991,
B59;-3067.133;2890.736;0;583083.275968;1212000.541214,
B60;-1209.087;2599.006;0;583083.273347;1212000.504131,
B61;-4255.705;4348.382;0;583083.289062;1212000.564936,
B62;815.432;13623.39;0;583083.37238;1212000.463726,
B63;-3791.44;15186.964;0;583083.386426;1212000.55567,
B64;-4224.918;17139.423;0;583083.403965;1212000.564321,
B65;-7162.426;16426.698;0;583083.397563;1212000.622948,
;;;;;,
pozn: Orientace osy X pro vùpo‹et relativn’ polohy bodó k BR = sever,;;;;;
;osa Y je kolm‡ na osu X;;;;,
