timestamp,signal_dbm,quality,bitrate,connected
2026-04-01 15:36:07,-86,24/70,1.0 MBit/s,1
2026-04-01 15:36:08,-85,25/70,2.0 MBit/s,1
2026-04-01 15:36:09,-86,25/70,2.0 MBit/s,1
2026-04-01 15:36:10,-85,25/70,2.0 MBit/s,1
2026-04-01 15:36:11,-85,25/70,2.0 MBit/s,1
2026-04-01 15:36:12,-85,25/70,2.0 MBit/s,1
2026-04-01 15:36:13,-84,26/70,2.0 MBit/s,1
2026-04-01 15:36:14,-83,27/70,2.0 MBit/s,1
2026-04-01 15:36:15,-83,27/70,2.0 MBit/s,1
2026-04-01 15:36:17,-83,27/70,2.0 MBit/s,1
2026-04-01 15:36:18,-83,27/70,2.0 MBit/s,1
2026-04-01 15:36:19,-83,27/70,2.0 MBit/s,1
2026-04-01 15:36:20,-82,28/70,2.0 MBit/s,1
2026-04-01 15:36:21,-82,28/70,2.0 MBit/s,1
2026-04-01 15:36:22,-84,26/70,2.0 MBit/s,1
2026-04-01 15:36:23,-84,26/70,2.0 MBit/s,1
2026-04-01 15:36:24,-85,25/70,2.0 MBit/s,1
2026-04-01 15:36:25,-85,25/70,2.0 MBit/s,1
2026-04-01 15:36:26,-85,25/70,2.0 MBit/s,1
2026-04-01 15:36:27,-85,25/70,2.0 MBit/s,1
2026-04-01 15:36:28,-85,25/70,2.0 MBit/s,1
2026-04-01 15:36:29,-85,25/70,2.0 MBit/s,1
2026-04-01 15:36:30,-85,25/70,2.0 MBit/s,1
2026-04-01 15:36:31,-86,24/70,2.0 MBit/s,1
2026-04-01 15:36:33,-86,24/70,2.0 MBit/s,1
2026-04-01 15:36:34,-86,24/70,2.0 MBit/s,1
2026-04-01 15:36:35,-86,24/70,2.0 MBit/s,1
2026-04-01 15:36:36,-86,24/70,2.0 MBit/s,1
2026-04-01 15:36:37,-86,24/70,2.0 MBit/s,1
2026-04-01 15:36:38,,,, 0
2026-04-01 15:36:39,,,, 0
